address,total_fees,total_txs
cosmos106660962edlmadl8h22vgv5a28fyza8xgp49f5,"[{""denom"":""uatom"",""amount"":116250}]",11
cosmos1teff5zxa6f98g97634u2qsmh30cpepcryy4cc2,"[{""denom"":""uatom"",""amount"":116250}]",11
cosmos1tev64uetkf600s42dp34chmadg7u3ffshgxzyz,"[{""denom"":""uatom"",""amount"":116250}]",11
cosmos1dptsd0mcpyga57w3wsupvlv2wvyc2rq05pytkk,"[{""denom"":""uatom"",""amount"":101250}]",11
cosmos18l6rf937263cmx578jcjkel42ck004pp5322j7,"[{""denom"":""uatom"",""amount"":2210}]",11
cosmos12cpwgkczy62gs6fq0lvgfuu6f89e64qccptd4t,"[{""denom"":""uatom"",""amount"":29006}]",11
cosmos17s2828hkkvvyv69gmf209g68l46uaje726kczu,[],10
cosmos154c2wxdjsjgfr89twt28gl6te6xqay6s84uw5p,"[{""denom"":""uatom"",""amount"":93750}]",10
cosmos1x60z62swcm4j5ct4l5xpmcln3fdkvp8kylqv07,"[{""denom"":""uatom"",""amount"":50000}]",10
cosmos18545hpqjmkptvdttrpnws2ecj736h36a6jl69l,"[{""denom"":""uatom"",""amount"":108750}]",10
cosmos19h3re9czsercge2mpumvdnvup82ufzuc720j3n,"[{""denom"":""uatom"",""amount"":910}]",10
cosmos14xj6m2zjkk8e4xwrm345rrrntsneyxqdr4luqy,"[{""denom"":""uatom"",""amount"":82651}]",10
cosmos1dh8z4wsqnrh86djs250py07rm9nrcl4r663rfx,"[{""denom"":""uatom"",""amount"":96}]",9
cosmos15qna4cxwmsrrqp4902mx3x79ahn42aqts8qnx9,"[{""denom"":""uatom"",""amount"":93750}]",9
cosmos1wfkpgk6muaaf0e5c4gaxfu9z38hlfumewd3f8t,"[{""denom"":""uatom"",""amount"":93750}]",9
cosmos1kuyhutvvmy2wrap2ldck3rdxz90uvaqslt8esf,"[{""denom"":""uatom"",""amount"":93750}]",9
cosmos1m2egp6jchvdagpj7fqy0xxzrh2zulcu6a6pjsj,"[{""denom"":""uatom"",""amount"":93750}]",9
cosmos1frsp9lhczp4wpurqj4yjhwgpnshuk5yegefsjj,"[{""denom"":""uatom"",""amount"":93750}]",9
cosmos1ct7udjdwna8uwh3dh5ulj3gkakvuhvw4zx85j8,"[{""denom"":""uatom"",""amount"":93750}]",9
cosmos1995f05elwwesxfsf8zxmmlf7qn4uev9xvmas3z,"[{""denom"":""uatom"",""amount"":93750}]",9
cosmos1zenexh6wpqzzgedqaqew9yqxvr54eee5k86e58,"[{""denom"":""uatom"",""amount"":93750}]",9
cosmos130dgpsvmw9zddmhgzkdq850fg608dv9s9u9zje,"[{""denom"":""uatom"",""amount"":143109}]",9
cosmos1hd7g62sfpwdq5rsjc8fr5rygrn7524xgtamzde,"[{""denom"":""uatom"",""amount"":93750}]",9
cosmos18gq6ryqlm07awk8qy0sgn2nr5qj270d5y6f4t0,"[{""denom"":""uatom"",""amount"":93750}]",9
cosmos1vg3jgulhjf6ljzz8y8wy903m0q2uxdzwf6j364,"[{""denom"":""uatom"",""amount"":6174}]",9
cosmos1dxdkwpd054qhytltwq0yfmrvrnawpdkjxyugy8,"[{""denom"":""uatom"",""amount"":43635}]",8
cosmos1wsjafzqh0e42gzn77gz9ky3pagw0uh6c3y35sq,"[{""denom"":""uatom"",""amount"":2097}]",8
cosmos1c3mfgs0p6ggfhr84z9hfyv6h45svuaxujme2sy,"[{""denom"":""uatom"",""amount"":510063}]",8
cosmos1wwkcc8yx7dy237zqnq93vt3hcdct3jfzddgkmx,"[{""denom"":""uatom"",""amount"":15811}]",8
cosmos1202yfwfm23zyngv67vz4sxumuewdsh2cu40ydn,"[{""denom"":""uatom"",""amount"":990997}]",7
cosmos1nx6a6ma3a7d4pn65e5nevjdekktl95aaulm2d0,"[{""denom"":""uatom"",""amount"":54473}]",7
cosmos1gzc54u4p67hh9r4m9vcml3ke9fc29tplsefy6k,"[{""denom"":""uatom"",""amount"":41121}]",7
cosmos1pyx47gl3sxjy5halmv40vwnpz2fc8vypljmxmx,"[{""denom"":""uatom"",""amount"":71250}]",7
cosmos1gkezjnklkk5vj804l2nxuw6dt7ftr3hfq7mdva,"[{""denom"":""uatom"",""amount"":0}]",7
cosmos1qfzra3eka5ueekh0jkl5qheul7zqj044c94fjy,[],6
cosmos1k558hyn27e920zegxplkt7n66n42vkpha7utev,"[{""denom"":""uatom"",""amount"":45000}]",6
cosmos179qp6sfunq2u6n05uxpmya3xgcuhxa5jkh5e2k,"[{""denom"":""uatom"",""amount"":9154}]",6
cosmos1rry6xcx8dpykkl7r3rnyyns8tgysys2lzh5es8,"[{""denom"":""uatom"",""amount"":23086}]",5
cosmos1t8pzfj95pcdcxfcu34ezap8rchvku9lzcupz77,"[{""denom"":""uatom"",""amount"":18750}]",5
cosmos1f2sgwns3nkqfvq2fafpfvkmr97p2wsrftpc89n,"[{""denom"":""uatom"",""amount"":39600}]",5
cosmos16386kwv9sxvpqqyk7wxpm4tu5lw2ktwzykppqx,"[{""denom"":""uatom"",""amount"":13097}]",4
cosmos10akteru39h83tqmlxn2wqaz0hf0a0kl3uc0cjq,"[{""denom"":""uatom"",""amount"":25574}]",4
cosmos1tm6a80rj77cdwpadn3mrdl78pwky98s0yx9adm,"[{""denom"":""uatom"",""amount"":10}]",4
cosmos1tpvmxmulw3gcmvy3x9tjtl5wk99kpqq97ef3j0,"[{""denom"":""uatom"",""amount"":15600}]",4
cosmos13ly4xptdmwfxlzf5jjg72ywznqcc8qral44s9v,"[{""denom"":""uatom"",""amount"":15000}]",4
cosmos1cl4qw7u35uf77l4scjtv0qej8ycevu4mtkjud6,"[{""denom"":""uatom"",""amount"":15000}]",4
cosmos14g0hseuchptkuelekq4zs8nfthy990m5nzqpyn,"[{""denom"":""uatom"",""amount"":180000}]",4
cosmos104sxvaj2wvjdgjud8up09sn6w70tm0aq6l0lcm,[],3
cosmos1ara3jv6rs0x6d7keazz4nwtmvme9svuzrzk3l2,"[{""denom"":""uatom"",""amount"":18750}]",3
cosmos1df554fteffe9xsv9fcwnetdqgym234wgu3w7s3,"[{""denom"":""uatom"",""amount"":28602}]",3
cosmos1n7n9la4lxy5fhnd2wxje9ncr46nge2m7n7r9lh,"[{""denom"":""uatom"",""amount"":11727}]",3
